Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\pma test.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Ct,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD
A1,Standard 1,16s,STANDARD,SYBR,None,10.29540253,10.44845486,0.148971215,354287392,,,TRUE,0.676053129,TRUE,1,3,84.64485931,,,,N,N
A2,Standard 1,16s,STANDARD,SYBR,None,10.45698452,10.44845486,0.148971215,354287392,,,TRUE,0.676053129,TRUE,1,3,85.24224854,,,,N,N
A3,Standard 1,16s,STANDARD,SYBR,None,10.59297848,10.44845486,0.148971215,354287392,,,TRUE,0.676053129,TRUE,1,3,85.241745,,,,N,N
A4,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.03448391,15.30965519,0.27452752,4282503,3371432,826311.4375,TRUE,0.676053129,TRUE,3,8,85.09238434,,,,N,N
A5,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.15093613,15.30965519,0.27452752,3821094.5,3371432,826311.4375,TRUE,0.676053129,TRUE,3,8,84.64411926,,,,N,N
A6,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.32689857,15.30965519,0.27452752,3216451.5,3371432,826311.4375,TRUE,0.676053129,TRUE,3,8,85.09213257,,,,N,N
A7,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.46023178,16.27972603,0.30031997,1060567,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,10,84.94134521,,,,N,N
A8,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.39891624,16.27972603,0.30031997,1126176.75,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,10,84.79201508,,,,N,N
A9,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.34630203,16.27972603,0.30031997,1185702.125,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,84.94264984,,,,N,N
B1,Standard 2,16s,STANDARD,SYBR,None,12.90601826,13.11460781,0.180747777,35428740,,,TRUE,0.676053129,TRUE,3,6,85.24224854,,,,N,N
B2,Standard 2,16s,STANDARD,SYBR,None,13.21278286,13.11460781,0.180747777,35428740,,,TRUE,0.676053129,TRUE,3,6,85.24224854,,,,N,N
B3,Standard 2,16s,STANDARD,SYBR,None,13.22502327,13.11460781,0.180747777,35428740,,,TRUE,0.676053129,TRUE,3,6,85.241745,,,,N,N
B4,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.54506207,15.30965519,0.27452752,2597911.5,3371432,826311.4375,TRUE,0.676053129,TRUE,3,9,85.09238434,,,,N,N
B5,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.60424709,15.30965519,0.27452752,2451668.25,3371432,826311.4375,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
B6,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.79524994,15.30965519,0.27452752,2033557.625,3371432,826311.4375,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
B7,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,29.39756584,29.52812767,0.674258709,3.351234198,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,22,84.64268494,,,,N,Y
B8,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,29.29611588,29.52812767,0.674258709,3.701147795,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,22,84.64268494,,,,N,Y
B9,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,28.41512299,29.52812767,0.674258709,8.76783371,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,22,84.64398193,,,,N,Y
C1,Standard 3,16s,STANDARD,SYBR,None,15.01692104,15.10651493,0.078677259,3542874,,,TRUE,0.676053129,TRUE,3,8,85.24224854,,,,N,N
C2,Standard 3,16s,STANDARD,SYBR,None,15.16434193,15.10651493,0.078677259,3542874,,,TRUE,0.676053129,TRUE,3,8,85.09290314,,,,N,N
C3,Standard 3,16s,STANDARD,SYBR,None,15.13828278,15.10651493,0.078677259,3542874,,,TRUE,0.676053129,TRUE,3,8,85.241745,,,,N,N
C4,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.08268261,15.30965519,0.27452752,4085130.25,3371432,826311.4375,TRUE,0.676053129,TRUE,3,8,84.94302368,,,,N,N
C5,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.08483887,15.30965519,0.27452752,4076516,3371432,826311.4375,TRUE,0.676053129,TRUE,3,8,84.9427948,,,,N,N
C6,"IOH-, PMA-",16s,UNKNOWN,SYBR,None,15.16250706,15.30965519,0.27452752,3778055.75,3371432,826311.4375,TRUE,0.676053129,TRUE,3,8,84.79345703,,,,N,N
C7,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,29.22694016,29.52812767,0.674258709,3.960469007,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,22,84.64268494,,,,N,Y
C8,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,29.47567177,29.52812767,0.674258709,3.104544401,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,22,84.4933548,,,,N,Y
C9,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,28.98177338,29.52812767,0.674258709,5.034771442,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,22,84.64398193,,,,N,Y
D1,Standard 4,16s,STANDARD,SYBR,None,17.46589279,17.47783661,0.018633669,354287.4063,,,TRUE,0.676053129,TRUE,3,11,85.24224854,,,,N,N
D2,Standard 4,16s,STANDARD,SYBR,None,17.49930763,17.47783661,0.018633669,354287.4063,,,TRUE,0.676053129,TRUE,3,11,85.09290314,,,,N,N
D3,Standard 4,16s,STANDARD,SYBR,None,17.4683094,17.47783661,0.018633669,354287.4063,,,TRUE,0.676053129,TRUE,3,10,85.241745,,,,N,N
D4,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,14.73926067,15.39017582,0.413578928,5717582,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,8,84.94302368,,,,N,N
D5,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,14.87561321,15.39017582,0.413578928,5003131,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,8,84.9427948,,,,N,N
D6,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,14.93729782,15.39017582,0.413578928,4709952.5,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,8,84.9427948,,,,N,N
D7,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,30.46719742,29.52812767,0.674258709,1.176112294,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,24,84.64268494,,,,N,Y
D8,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,30.35065842,29.52812767,0.674258709,1.318243265,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,24,84.4933548,,,,N,Y
D9,"IOH+, PMA+",16s,UNKNOWN,SYBR,None,30.1421032,29.52812767,0.674258709,1.616825819,3.559020042,2.35085392,TRUE,0.676053129,TRUE,3,23,84.19598389,,,,N,Y
E1,Standard 5,16s,STANDARD,SYBR,None,19.84734726,19.9244957,0.102323346,35428.73828,,,TRUE,0.676053129,TRUE,3,13,85.09290314,,,,N,N
E2,Standard 5,16s,STANDARD,SYBR,None,19.88557053,19.9244957,0.102323346,35428.73828,,,TRUE,0.676053129,TRUE,3,13,85.09290314,,,,N,N
E3,Standard 5,16s,STANDARD,SYBR,None,20.04056931,19.9244957,0.102323346,35428.73828,,,TRUE,0.676053129,TRUE,3,13,85.09238434,,,,N,N
E4,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.6341238,15.39017582,0.413578928,2381001,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,84.94302368,,,,N,N
E5,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.60459232,15.39017582,0.413578928,2450840,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
E6,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.69025803,15.39017582,0.413578928,2253689,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,84.79345703,,,,N,N
F1,Standard 6,16s,STANDARD,SYBR,None,22.26929855,22.35310936,0.073867358,3542.874023,,,TRUE,0.676053129,TRUE,3,15,85.09290314,,,,N,N
F2,Standard 6,16s,STANDARD,SYBR,None,22.38129234,22.35310936,0.073867358,3542.874023,,,TRUE,0.676053129,TRUE,3,16,85.09290314,,,,N,N
F3,Standard 6,16s,STANDARD,SYBR,None,22.40873528,22.35310936,0.073867358,3542.874023,,,TRUE,0.676053129,TRUE,3,15,85.241745,,,,N,N
F4,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.61441994,15.39017582,0.413578928,2427374,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,85.09238434,,,,N,N
F5,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.59191704,15.39017582,0.413578928,2481440.5,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
F6,"IOH+, PMA-",16s,UNKNOWN,SYBR,None,15.82410812,15.39017582,0.413578928,1976912.125,3266880.25,1439006.875,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
G1,Standard 7,16s,STANDARD,SYBR,None,,,,,,,TRUE,0.676053129,TRUE,3,8,,,,,N,N
G2,Standard 7,16s,STANDARD,SYBR,None,,,,,,,TRUE,0.676053129,TRUE,3,9,,,,,N,N
G3,Standard 7,16s,STANDARD,SYBR,None,,,,,,,TRUE,0.676053129,TRUE,3,10,,,,,N,N
G4,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,15.8192997,16.27972603,0.30031997,1986239.75,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,85.09238434,,,,N,N
G5,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,15.82794762,16.27972603,0.30031997,1969495.5,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
G6,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.09387016,16.27972603,0.30031997,1518089.875,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N
H1,ntc,16s,NTC,SYBR,None,30.57741928,30.24754333,0.708835542,,,,TRUE,0.676053129,TRUE,3,24,84.94355774,,,,Y,Y
H2,ntc,16s,NTC,SYBR,None,30.73132515,30.24754333,0.708835542,,,,TRUE,0.676053129,TRUE,3,24,84.49551392,,,,Y,Y
H3,ntc,16s,NTC,SYBR,None,29.43388939,30.24754333,0.708835542,,,,TRUE,0.676053129,TRUE,3,22,84.64430237,,,,Y,Y
H4,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.53473854,16.27972603,0.30031997,985964.8125,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,85.09238434,,,,N,N
H5,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.66127014,16.27972603,0.30031997,871096.5,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,10,85.09213257,,,,N,N
H6,"IOH-, PMA+",16s,UNKNOWN,SYBR,None,16.37496185,16.27972603,0.30031997,1152897.75,1317358.875,413645.75,TRUE,0.676053129,TRUE,3,9,84.9427948,,,,N,N